Cidade,UF,Quantidade_produtos,Valor_gasto
"Delmiro Gouveia",AL,116,78421.22
Vilhena,RO,102,59264.67
"Currais Novos",RN,96,46681.95
Mossoró,RN,90,40125.78
"São José",SC,89,38602.96
"Ponta Grossa",PR,63,34831.84
"Santo André",SP,37,32663.40
Osasco,SP,38,30694.95
Cantá,RR,76,29177.76
Tocantinópolis,TO,39,28354.36
Uiramutã,RR,63,27729.16
Augustinópolis,TO,68,25379.68
"Plácido de Castro",AC,60,25084.96
Santarém,PA,103,24791.30
Alagoinhas,BA,55,24726.87
"Lauro de Freitas",BA,57,24648.35
Caracaraí,RR,92,23616.30
"Boca do Acre",AM,38,23138.55
"Santa Inês",MA,72,22768.56
Castanhal,PA,110,22316.60
